,id,name,reviews_per_month,number_of_reviews,review_scores_rating,first_review,availability_365,num_reviews_sqrt
995,271954,Beautiful brownstone apartment,2.1,158,92.0,2012-01-01,289,4.001093227542864
996,272026,1 Bdr. - MANHATTAN NY entire apt.,0.61,20,87.0,2015-06-22,363,1.4235250868343543
997,272044,Luxury Designer Downtown Apartment,0.59,45,94.0,2011-12-06,365,2.1352876302515313
999,272706,"SUNNY, SPACIOUS APT. in  FT. GREENE",0.09,7,97.0,2011-12-25,0,0.8421687986955848
1000,272738,Guest Room in Authentic Williamsburg Factory Loft,0.44,33,87.0,2011-12-20,172,1.8285510821951754
1001,273190,HUGE 6 bedroom Landmark house NYC,0.35,26,92.0,2012-02-22,240,1.623068321020647
1003,274062,Beautiful Room Near Central Park!,0.67,30,98.0,2014-07-02,0,1.7434550493976417
1004,274085,Cozy SUNNY Park Slope Apartment!,1.5,114,96.0,2011-12-06,150,3.3986195631795133
1005,274257,Duplex on the Upper East Side-59th,0.13,10,96.0,2012-01-01,19,1.0065842420897408
1006,274329,Fantastic 1-bedroom basement apt.,1.52,75,87.0,2014-02-14,29,2.7566444771089604
1007,274376,"Private Clinton Hill, Brooklyn Apt",0.06,2,100.0,2015-08-18,364,0.4501581580785531
1008,274743,Charming furnished Studio-Loft,0.02,1,100.0,2014-08-31,277,0.3183098861837907
1010,275443,"""Modern 1BR w/ Balcony - Times Sqr""",0.07,4,95.0,2013-07-20,0,0.6366197723675814
1011,275976,Lovely 2 bedroom apartment with backyard access,2.09,150,92.0,2012-04-13,214,3.8984840061683808
1012,276120,Sunny Apt Near Opera/Cafes-Sleeps 4,3.13,235,93.0,2012-01-03,214,4.879598155171118
1013,276317,"The Carlton, Brooklyn brownstone Duplex w/ garden",0.81,61,96.0,2011-12-29,333,2.4860796854048353
1014,276482,Comfortable Manhattanville.,1.64,123,87.0,2012-01-01,354,3.530227413072357
1015,276491,Perfect New York Studio Apartment,0.07,5,100.0,2012-01-02,314,0.7117625434171772
1017,277133,Williamsburg great location,0.33,22,96.0,2012-09-09,31,1.493005706664054
1018,277207,Beautiful lrg 1800's syle apt share,0.32,14,94.0,2014-07-26,365,1.191006536922753
1019,277370,Location wins for East Village Apt,0.64,45,94.0,2012-05-15,261,2.1352876302515313
1020,278090,Furnished room for rent - Manhattan,2.68,197,89.0,2012-02-22,263,4.467692153398725
1021,278145,Large Room in a Huge NY apartment.,0.04,3,73.0,2011-12-21,0,0.5513288954217921
1022,278197,Lovely Room in Trendy Brooklyn!,1.43,107,96.0,2012-01-12,338,3.292623065236916
1023,278631,West Village NYC Sun-filled Studio!,0.1,7,90.0,2012-05-09,365,0.8421687986955848
1025,279093,1200 Sq.Ft. Historic Apt. in Harlem,0.05,1,100.0,2016-08-08,365,0.3183098861837907
1026,279857,"NYC House 5 Bathrooms 9 BedRooms, Groups Brooklyn",1.09,79,95.0,2012-03-14,258,2.8292001533551288
1027,279969,Cozy Brownstone Inn I(studio),0.45,32,90.0,2012-05-01,31,1.8006326323142123
1028,280046,Beautiful Studio Rental,0.01,1,100.0,2012-01-26,51,0.3183098861837907
1029,280315,Crown Height's Brooklyn Cozy Apt,0.35,26,91.0,2012-01-06,0,1.623068321020647
1030,280393,Prime Chelsea Sublet | Spacious,0.75,28,97.0,2015-02-05,49,1.6843375973911696
1031,281192,Designer loft in hip Williamsburg,0.33,24,99.0,2012-02-21,62,1.559393602467352
1032,281308,"Clean, Attractive Apartment in a GREAT location",0.39,29,98.0,2012-01-06,65,1.714151196839939
1033,281521,Amazing West Village 2br,0.02,1,97.0,2012-10-02,43,0.3183098861837907
1034,281703,Great 1 bdrm ap in the East Village,0.07,2,60.0,2015-08-25,0,0.4501581580785531
1035,281756,Authentic NY Charming Artist Loft,0.1,7,87.0,2012-03-13,208,0.8421687986955848
1036,281842,Beautiful Bedroom with Private Bathroom,0.47,2,100.0,2017-10-29,246,0.4501581580785531
1037,281851,Beautiful Private Bedroom - Downstairs,1.64,47,97.0,2015-10-28,338,2.1822226355690373
1038,282443,QT STUDIO FOR ROMANTIC COUPLES,0.69,52,95.0,2012-01-02,78,2.2953652322455276
1039,282514,"Priv Rm & Bath, in Lg, Sunny Bklyn Twn Hse",0.48,1,100.0,2018-01-01,357,0.3183098861837907
1040,282863,Cozy & Charming Boerum Hill Flat,0.62,46,91.0,2012-01-17,320,2.158882684989515
1041,282977,Park Slope Brooklyn!  Sunny Bedroom.,2.67,202,96.0,2011-12-20,356,4.524033498522334
1043,283090,Spacious East Village Apartment,0.29,22,91.0,2011-12-31,64,1.493005706664054
1045,283194,True 2 Bed/2 Bath in Chelsea,0.72,54,99.0,2012-01-06,247,2.3390904037010283
1046,283377,Beautiful LARGE W Vlge Studio,1.66,122,95.0,2012-02-16,329,3.5158476082397554
1047,283550,Hells Kitchen Ground Fl 1-bedroom,0.18,5,100.0,2015-12-06,0,0.7117625434171772
1048,284208,Pre War Park Slope on Prospect Park,0.37,22,86.0,2013-03-24,365,1.493005706664054
1049,284855,Charming Apt in the Best Location!,1.01,70,98.0,2012-07-03,109,2.6631715782058887
1051,285442,Huge room with private balcony,0.02,1,100.0,2013-05-06,0,0.3183098861837907
1052,285716,Great spacious room by the L train!,0.07,5,92.0,2012-03-23,0,0.7117625434171772
1053,285853,Child-friendly 2 bedroom on UWS,0.71,53,96.0,2012-01-01,145,2.3173309502623707
1054,286662,Charming Brooklyn Studio,2.19,164,97.0,2012-01-06,317,4.076355494475843
1055,286838,Private Room in Brownstone,1.34,101,93.0,2012-01-03,0,3.1989747651202434
1056,287272,Big Sunny Loft for FAM or FRIENDS,0.52,39,90.0,2011-12-29,0,1.9878446020881948
1057,287408,Lovely Hell's Kitchen Studio...,0.88,63,98.0,2012-04-12,5,2.5265063960867544
1058,287417,HOT SPOT FOR 20 AND 30 SOMETHING'S,0.44,32,83.0,2012-04-01,64,1.8006326323142123
1059,287421,"Cozy, Clean Cobble Hill Brownstone",1.38,103,94.0,2012-01-17,62,3.2304925189761375
1060,287481,Spacious Wburg Apt with Skylight,0.77,58,86.0,2012-01-06,21,2.424175870529115
1061,287492,Kid friendly apmt! Central Park,0.09,6,92.0,2012-08-05,0,0.779696801233676
1062,287814,"Big, Sunny, Modern Apartment w/VIEW",1.86,140,96.0,2011-12-31,239,3.766293364825328
1063,287839,"Cozy, beautiful doormen studio-",0.14,10,97.0,2012-05-07,362,1.0065842420897408
1064,287845,Carroll Gardens Gem-2BD with Garden,1.08,81,99.0,2012-01-14,206,2.864788975654116
1065,287847,"Hip Whole Apt in Wmsburg, Brooklyn",0.38,27,95.0,2012-05-16,1,1.6539866862653763
1066,287916,UWS - Perfect location - 2 bedroom,0.09,7,100.0,2012-01-03,365,0.8421687986955848
1067,288043,West Village/Meat Packing Apt.,0.59,36,93.0,2013-03-12,23,1.909859317102744
1068,288224,Sun-filled studio close to SOHO,0.2,15,96.0,2012-01-03,365,1.2328088881229997
1069,288726,Cozy Railroad Apt.,0.67,44,94.0,2012-09-29,0,2.111428919064732
1070,289020,Sunny 1BR Center of East Village!,0.22,14,90.0,2012-12-25,104,1.191006536922753
1071,289037,"2BR in Cobble Hill, Brooklyn, NY",0.24,13,100.0,2013-08-21,0,1.1476826161227638
1072,289288,Perfect East Village Apartment,1.4,104,96.0,2012-01-27,235,3.246136642041294
1073,289665,Decorators 5-Star Flat West Village,2.08,157,96.0,2011-12-25,0,3.988411442146739
1074,289703,Beautiful SoHo Luxury Apartment,0.15,8,100.0,2013-09-05,0,0.9003163161571062
1075,289958,2 Rooms in Cottage NYC,0.07,5,75.0,2012-06-04,362,0.7117625434171772
1076,289995,Loft Like w/Garden- Williamsburg Bedford L Stop,0.46,33,97.0,2012-04-07,223,1.8285510821951754
1077,290058,Spectacular Bushwick One Bedroom,0.14,9,100.0,2013-01-04,350,0.954929658551372
1078,290123,"LUXURY Apartment, Furnished, View!",0.04,2,100.0,2014-04-07,364,0.4501581580785531
1079,290193,"Great, Parkside Room in 4 bd apt!!!",0.13,10,96.0,2012-02-01,96,1.0065842420897408
1080,290457,Between Two Bridges 2BD -Whole Apt!,0.38,28,91.0,2012-02-17,255,1.6843375973911696
1081,291714,Brooklyn Beauty - Home Away From Home,0.53,35,89.0,2012-09-17,299,1.883146682412664
1082,291728,"Sunny,cozy,quiet studio in Nolita",0.21,16,96.0,2012-01-02,0,1.2732395447351628
1083,291764,"Large Glowing Private Room, Williamsburg Bedford L",0.57,41,81.0,2012-04-12,308,2.0381777472379214
