,id,name,reviews_per_month,number_of_reviews,review_scores_rating,first_review,availability_365,num_reviews_sqrt
0,2515,Stay at Chez Chic budget room #1,1.43,164,92.0,2008-10-13,316,4.076355494475843
1,2539,Clean & quiet apt home by the park,0.26,7,97.0,2015-12-04,365,0.8421687986955848
2,2595,Skylit Midtown Castle,0.29,29,97.0,2009-11-21,365,1.714151196839939
3,3330,++ Brooklyn Penthouse Guestroom ++,0.27,27,97.0,2010-01-04,279,1.6539866862653763
5,3831,Cozy Entire Floor of Brownstone,4.34,181,90.0,2014-09-30,126,4.282421539183542
6,4989,Available! Perfect location! Entire apartment!,0.26,26,88.0,2010-01-03,17,1.623068321020647
7,5054,Midtown West,0.53,58,93.0,2009-03-16,2,2.424175870529115
8,5121,BlissArtsSpace!,0.48,51,90.0,2009-05-28,365,2.273187270279162
9,5136,Spacious Brooklyn Duplex + Garden,0.02,1,97.0,2014-01-02,358,0.3183098861837907
10,5172,Quiet Slice of Manhattan,0.59,64,93.0,2009-04-07,0,2.5464790894703255
11,5178,Large Furnished Room Near B'way ,3.45,371,84.0,2009-05-06,171,6.131081399827221
12,5203,Cozy Clean Guest Room - Family Apt,1.14,118,98.0,2009-09-07,0,3.4577304217934426
13,5238,Cute & Cozy Lower East Side 1 bdrm,1.41,146,93.0,2009-09-01,181,3.8461529886083987
14,5295,Beautiful 1br on Upper West Side,0.34,37,94.0,2009-05-08,249,1.9362034487022528
15,5435,Upper West Side-Unique One Bedroom,0.23,25,91.0,2009-05-04,365,1.5915494309189535
16,5441,Central Manhattan/near Broadway,1.31,143,97.0,2009-03-12,49,3.8064326160926982
17,5803,"Lovely Room 1, Garden, Best Area, Legal rental",1.37,148,93.0,2009-04-23,279,3.8724068974045056
18,5945,Airy Room on the fabulous UWS ,0.64,66,92.0,2009-09-11,80,2.5859617399324173
19,6090,West Village Nest,0.23,24,96.0,2009-08-23,1,1.559393602467352
20,6848,Only 2 stops to Manhattan studio,0.8,86,90.0,2009-05-25,281,2.951884447813134
21,6990,UES Beautiful Blue Room / Oak Room,2.21,225,97.0,2009-10-28,0,4.7746482927568605
22,7097,Perfect for Your Parents + Garden,1.45,144,96.0,2010-01-16,353,3.819718634205488
23,7241,"Adorable, tons of light, Meatpacking",0.59,61,92.0,2009-08-16,125,2.4860796854048353
24,7322,Chelsea Perfect,1.97,209,96.0,2009-06-13,0,4.601752642336243
25,7801,Sweet and Spacious Brooklyn Loft,0.1,10,98.0,2009-08-09,87,1.0065842420897408
